9dade	novidade
add	adicionar
aew	aí
aki	aqui
blz	beleza
bj	beijo
bjo	beijo
bjoks	beijocas
bjs	beijos
bjos	beijos
cê	você
cmg	comigo
ctg	contigo
d	de
D+	demais
eh	é
etm	eu te amo
ets	eu tenho saudades
FDP	filho da puta
FDS	fim de semana
flw	falou
gnt	gente
hj	hoje
kct	cacete
kkk	-
q	o quê
kbça	cabeça
kra	cara
kd	cadê
cd	cadê
ki	oquê
n	não
ñ	não
namo	namorado
naum	não
nd	nada
neh	né
ngm	ninguém
oq	oquê
p	para
pf	por favor
pqp	putaquepariu
q	que
qdo	quando
qnd	quando
qq 	qualquer
rs	risos
soh	só
sqn 	só que não
t+	até mais
ta	está
tamo	estamos
tamos 	estamos
tb	também
tbm	também
tc	teclar
td	tudo
TDB	tudo de bom
tipo	tipo
to	estou
vcs	vocês
vc	você
vlw	valeu
